customer_id,event,time,amount,offer_id,reward_noinc,member_Year,member_Month,member_Date,offer_type,difficulty,reward_off,duration,channels
a03223e636434f42ac4c3df47e8bac43,offer received,0,,0b1e1539f2cc45b7b9fa7c272da2e1d7,,2017,August,4,discount,20.0,5.0,10.0,W|E
a03223e636434f42ac4c3df47e8bac43,offer viewed,6,,0b1e1539f2cc45b7b9fa7c272da2e1d7,,2017,August,4,discount,20.0,5.0,10.0,W|E
a03223e636434f42ac4c3df47e8bac43,transaction,234,1.09,,,2017,August,4,,,,,
a03223e636434f42ac4c3df47e8bac43,transaction,264,3.5,,,2017,August,4,,,,,
a03223e636434f42ac4c3df47e8bac43,offer received,336,,3f207df678b143eea3cee63160fa8bed,,2017,August,4,informational,0.0,0.0,4.0,W|E|M
a03223e636434f42ac4c3df47e8bac43,offer viewed,336,,3f207df678b143eea3cee63160fa8bed,,2017,August,4,informational,0.0,0.0,4.0,W|E|M
a03223e636434f42ac4c3df47e8bac43,offer received,408,,5a8bc65990b245e5a138643cd4eb9837,,2017,August,4,informational,0.0,0.0,3.0,E|M|S
a03223e636434f42ac4c3df47e8bac43,offer received,504,,0b1e1539f2cc45b7b9fa7c272da2e1d7,,2017,August,4,discount,20.0,5.0,10.0,W|E
a03223e636434f42ac4c3df47e8bac43,offer received,576,,0b1e1539f2cc45b7b9fa7c272da2e1d7,,2017,August,4,discount,20.0,5.0,10.0,W|E
a03223e636434f42ac4c3df47e8bac43,transaction,612,0.06,,,2017,August,4,,,,,
a03223e636434f42ac4c3df47e8bac43,offer viewed,624,,0b1e1539f2cc45b7b9fa7c272da2e1d7,,2017,August,4,discount,20.0,5.0,10.0,W|E
8ec6ce2a7e7949b1bf142def7d0e0586,offer received,0,,fafdcd668e3743c1bb461111dcafc2a4,,2017,September,25,discount,10.0,2.0,10.0,W|E|M|S
8ec6ce2a7e7949b1bf142def7d0e0586,offer viewed,12,,fafdcd668e3743c1bb461111dcafc2a4,,2017,September,25,discount,10.0,2.0,10.0,W|E|M|S
8ec6ce2a7e7949b1bf142def7d0e0586,offer received,168,,4d5c57ea9a6940dd891ad53e9dbe8da0,,2017,September,25,bogo,10.0,10.0,5.0,W|E|M|S
8ec6ce2a7e7949b1bf142def7d0e0586,offer viewed,216,,4d5c57ea9a6940dd891ad53e9dbe8da0,,2017,September,25,bogo,10.0,10.0,5.0,W|E|M|S
8ec6ce2a7e7949b1bf142def7d0e0586,offer received,336,,3f207df678b143eea3cee63160fa8bed,,2017,September,25,informational,0.0,0.0,4.0,W|E|M
8ec6ce2a7e7949b1bf142def7d0e0586,offer viewed,366,,3f207df678b143eea3cee63160fa8bed,,2017,September,25,informational,0.0,0.0,4.0,W|E|M
8ec6ce2a7e7949b1bf142def7d0e0586,offer received,408,,2906b810c7d4411798c6938adc9daaa5,,2017,September,25,discount,10.0,2.0,7.0,W|E|M
8ec6ce2a7e7949b1bf142def7d0e0586,offer viewed,462,,2906b810c7d4411798c6938adc9daaa5,,2017,September,25,discount,10.0,2.0,7.0,W|E|M
